Mode,Theme,Avg_FPS,Avg_Sim_ms,P1_Low_Sim_ms
InGen (Lightweight),Wireframe Space,16,64.74,77.16
InGen (Lightweight),Wireframe Space,15,66.62,76.12
InGen (Lightweight),Wireframe Space,16,59.12,67.38
InGen (Lightweight),Wireframe Space,15,57.14,65.31
InGen (Lightweight),Wireframe Space,14,58.70,66.61
InGen (Lightweight),Wireframe Space,16,60.87,67.47
InGen (Lightweight),Wireframe Space,14,54.88,64.08
InGen (Lightweight),Wireframe Space,15,55.88,65.46
InGen (Lightweight),Wireframe Space,15,59.00,70.94
InGen (Lightweight),Wireframe Space,15,61.18,70.52
InGen (Lightweight),Wireframe Space,16,64.02,71.76
InGen (Lightweight),Wireframe Space,14,60.13,68.20
InGen (Lightweight),Wireframe Space,14,58.92,66.51
InGen (Lightweight),Wireframe Space,16,53.61,65.30
InGen (Lightweight),Wireframe Space,16,58.14,64.77
InGen (Lightweight),Wireframe Space,14,55.52,66.82
InGen (Lightweight),Wireframe Space,14,60.65,69.56
InGen (Lightweight),Wireframe Space,15,60.81,73.87
InGen (Lightweight),Wireframe Space,16,66.12,73.31
InGen (Lightweight),Wireframe Space,14,62.28,71.44
InGen (Lightweight),Wireframe Space,16,58.44,69.23
InGen (Lightweight),Wireframe Space,15,57.77,67.29
InGen (Lightweight),Wireframe Space,16,59.68,65.70
InGen (Lightweight),Wireframe Space,14,63.14,72.59
InGen (Lightweight),Wireframe Space,14,60.08,64.27
InGen (Lightweight),Wireframe Space,15,61.78,67.72
InGen (Lightweight),Wireframe Space,15,63.06,70.46
InGen (Lightweight),Wireframe Space,15,59.67,71.28
InGen (Lightweight),Wireframe Space,15,58.68,67.43
InGen (Lightweight),Wireframe Space,15,65.02,74.40
InGen (Lightweight),Wireframe Space,14,56.01,64.93
InGen (Lightweight),Wireframe Space,16,54.19,63.52
InGen (Lightweight),Wireframe Space,16,58.01,68.57
InGen (Lightweight),Wireframe Space,15,56.83,67.17
InGen (Lightweight),Wireframe Space,15,56.22,68.10
InGen (Lightweight),Wireframe Space,15,57.95,63.25
InGen (Lightweight),Wireframe Space,14,66.40,75.94
InGen (Lightweight),Wireframe Space,16,60.59,71.23
InGen (Lightweight),Wireframe Space,16,58.40,66.03
InGen (Lightweight),Wireframe Space,15,58.28,68.34
InGen (Lightweight),Wireframe Space,16,58.47,69.63
InGen (Lightweight),Wireframe Space,16,62.20,73.22
InGen (Lightweight),Wireframe Space,15,66.54,71.59
InGen (Lightweight),Wireframe Space,14,64.32,73.96
InGen (Lightweight),Wireframe Space,16,56.87,65.61
InGen (Lightweight),Wireframe Space,14,61.00,70.93
InGen (Lightweight),Wireframe Space,15,59.73,67.39
InGen (Lightweight),Wireframe Space,14,57.36,65.01
InGen (Lightweight),Wireframe Space,14,58.71,67.94
InGen (Lightweight),Wireframe Space,15,54.75,63.22
InGen (Lightweight),Wireframe Space,16,54.77,68.34
InGen (Lightweight),Wireframe Space,16,59.15,69.36
InGen (Lightweight),Wireframe Space,16,54.72,64.93
InGen (Lightweight),Wireframe Space,15,59.17,69.20
InGen (Lightweight),Wireframe Space,14,59.61,67.09
InGen (Lightweight),Wireframe Space,15,62.69,71.18
InGen (Lightweight),Wireframe Space,14,62.66,67.90
InGen (Lightweight),Wireframe Space,15,69.04,77.62
InGen (Lightweight),Wireframe Space,14,61.60,68.87
InGen (Lightweight),Wireframe Space,16,57.90,68.71
InGen (Lightweight),Wireframe Space,15,57.75,68.18
InGen (Lightweight),Wireframe Space,14,62.13,71.93
InGen (Lightweight),Wireframe Space,16,60.96,72.99
InGen (Lightweight),Wireframe Space,16,58.00,70.79
InGen (Lightweight),Wireframe Space,16,53.61,62.98
InGen (Lightweight),Wireframe Space,14,61.11,68.35
InGen (Lightweight),Wireframe Space,16,55.04,65.89
InGen (Lightweight),Wireframe Space,15,61.73,70.62
InGen (Lightweight),Wireframe Space,15,58.05,67.03
InGen (Lightweight),Wireframe Space,14,57.16,64.57
InGen (Lightweight),Wireframe Space,15,61.08,70.67
InGen (Lightweight),Wireframe Space,14,63.83,72.12
InGen (Lightweight),Wireframe Space,14,57.46,65.29
InGen (Lightweight),Wireframe Space,14,55.80,66.79
InGen (Lightweight),Wireframe Space,16,61.26,71.32
InGen (Lightweight),Wireframe Space,15,59.83,72.69
InGen (Lightweight),Wireframe Space,14,57.56,66.46
InGen (Lightweight),Wireframe Space,16,58.22,68.23
InGen (Lightweight),Wireframe Space,15,61.27,69.04
InGen (Lightweight),Wireframe Space,14,64.36,73.03
InGen (Lightweight),Wireframe Space,14,61.74,73.71
InGen (Lightweight),Wireframe Space,16,56.29,66.33
InGen (Lightweight),Wireframe Space,14,58.40,66.95
InGen (Lightweight),Wireframe Space,16,56.22,66.90
InGen (Lightweight),Wireframe Space,15,60.26,67.75
InGen (Lightweight),Wireframe Space,16,56.62,68.91
InGen (Lightweight),Wireframe Space,15,58.91,68.91
InGen (Lightweight),Wireframe Space,15,61.83,70.64
InGen (Lightweight),Wireframe Space,15,60.80,68.32
InGen (Lightweight),Wireframe Space,16,59.16,70.31
InGen (Lightweight),Wireframe Space,16,63.15,74.26
InGen (Lightweight),Wireframe Space,16,62.06,70.03
InGen (Lightweight),Wireframe Space,14,64.88,74.71
InGen (Lightweight),Wireframe Space,14,55.49,66.17
InGen (Lightweight),Wireframe Space,15,56.48,67.58
InGen (Lightweight),Wireframe Space,16,56.91,66.84
InGen (Lightweight),Wireframe Space,14,55.62,67.30
InGen (Lightweight),Wireframe Space,16,63.71,72.62
InGen (Lightweight),Wireframe Space,16,59.85,67.93
InGen (Lightweight),Wireframe Space,15,66.14,74.32
InGen (Lightweight),Wireframe Space,15,61.49,69.65
InGen (Lightweight),Wireframe Space,16,54.18,65.52
InGen (Lightweight),Wireframe Space,16,57.15,65.62
InGen (Lightweight),Wireframe Space,15,56.18,64.00
InGen (Lightweight),Wireframe Space,15,54.08,64.07
InGen (Lightweight),Wireframe Space,14,53.61,63.30
InGen (Lightweight),Wireframe Space,14,53.91,64.21
InGen (Lightweight),Wireframe Space,16,58.04,66.38
InGen (Lightweight),Wireframe Space,14,57.19,66.41
InGen (Lightweight),Wireframe Space,16,63.47,73.79
InGen (Lightweight),Wireframe Space,14,63.58,68.58
InGen (Lightweight),Wireframe Space,14,58.84,68.12
InGen (Lightweight),Wireframe Space,16,62.70,68.89
InGen (Lightweight),Wireframe Space,16,56.87,67.78
InGen (Lightweight),Wireframe Space,16,64.90,72.22
InGen (Lightweight),Wireframe Space,16,58.34,66.60
InGen (Lightweight),Wireframe Space,16,53.61,62.20
InGen (Lightweight),Wireframe Space,16,53.61,58.51
InGen (Lightweight),Wireframe Space,14,58.55,70.83
InGen (Lightweight),Wireframe Space,14,58.67,68.77
InGen (Lightweight),Wireframe Space,16,58.41,66.94
InGen (Lightweight),Wireframe Space,15,56.30,63.38
InGen (Lightweight),Wireframe Space,15,54.07,65.27
InGen (Lightweight),Wireframe Space,16,59.25,69.98
InGen (Lightweight),Wireframe Space,16,62.33,71.53
InGen (Lightweight),Wireframe Space,16,57.46,64.81
InGen (Lightweight),Wireframe Space,14,54.50,67.04
InGen (Lightweight),Wireframe Space,16,59.23,66.68
InGen (Lightweight),Wireframe Space,15,57.07,65.49
InGen (Lightweight),Wireframe Space,16,59.88,69.16
InGen (Lightweight),Wireframe Space,16,54.68,61.56
InGen (Lightweight),Wireframe Space,16,60.23,68.96
InGen (Lightweight),Wireframe Space,16,62.27,71.32
InGen (Lightweight),Wireframe Space,15,59.14,69.67
InGen (Lightweight),Wireframe Space,14,71.41,82.14
InGen (Lightweight),Wireframe Space,15,59.24,69.63
InGen (Lightweight),Wireframe Space,14,53.90,64.71
InGen (Lightweight),Wireframe Space,16,55.90,65.81
InGen (Lightweight),Wireframe Space,14,61.97,68.37
InGen (Lightweight),Wireframe Space,14,60.17,66.35
InGen (Lightweight),Wireframe Space,15,54.85,63.44
InGen (Lightweight),Wireframe Space,16,54.40,64.11
InGen (Lightweight),Wireframe Space,14,59.74,68.86
InGen (Lightweight),Wireframe Space,14,60.75,72.77
InGen (Lightweight),Wireframe Space,14,57.95,67.30
InGen (Lightweight),Wireframe Space,14,58.13,64.49
InGen (Lightweight),Wireframe Space,15,56.78,67.21
InGen (Lightweight),Wireframe Space,16,57.08,66.78
InGen (Lightweight),Wireframe Space,16,55.42,62.20
InGen (Lightweight),Wireframe Space,14,59.56,69.37
InGen (Lightweight),Wireframe Space,14,56.34,67.30
InGen (Lightweight),Wireframe Space,16,66.17,74.53
InGen (Lightweight),Wireframe Space,15,62.04,72.44
InGen (Lightweight),Wireframe Space,14,57.18,64.26
InGen (Lightweight),Wireframe Space,16,62.04,68.41
InGen (Lightweight),Wireframe Space,14,66.92,74.49
InGen (Lightweight),Wireframe Space,16,59.43,65.67
InGen (Lightweight),Wireframe Space,16,59.91,69.23
InGen (Lightweight),Wireframe Space,14,60.44,70.27
InGen (Lightweight),Wireframe Space,16,62.86,71.24
InGen (Lightweight),Wireframe Space,15,62.83,70.23
InGen (Lightweight),Wireframe Space,16,60.15,70.30
InGen (Lightweight),Wireframe Space,16,59.95,68.71
InGen (Lightweight),Wireframe Space,15,62.44,72.23
InGen (Lightweight),Wireframe Space,15,56.69,66.41
InGen (Lightweight),Wireframe Space,15,58.62,67.95
InGen (Lightweight),Wireframe Space,16,61.13,74.50
InGen (Lightweight),Wireframe Space,14,65.73,74.13
InGen (Lightweight),Wireframe Space,15,61.57,67.87
InGen (Lightweight),Wireframe Space,16,55.87,65.25
InGen (Lightweight),Wireframe Space,14,54.59,64.03
InGen (Lightweight),Wireframe Space,14,58.43,66.73
InGen (Lightweight),Wireframe Space,15,55.08,61.68
InGen (Lightweight),Wireframe Space,14,63.27,71.55
InGen (Lightweight),Wireframe Space,15,57.46,68.40
InGen (Lightweight),Wireframe Space,15,64.13,72.86
InGen (Lightweight),Wireframe Space,16,61.06,69.19
InGen (Lightweight),Wireframe Space,16,59.95,71.17
InGen (Lightweight),Wireframe Space,14,61.89,69.79
InGen (Lightweight),Wireframe Space,14,57.07,67.16
InGen (Lightweight),Wireframe Space,16,55.94,65.24
InGen (Lightweight),Wireframe Space,14,67.26,74.37
InGen (Lightweight),Wireframe Space,16,61.87,70.47
InGen (Lightweight),Wireframe Space,15,60.66,69.28
InGen (Lightweight),Wireframe Space,16,58.52,66.00
InGen (Lightweight),Wireframe Space,14,62.19,71.90
InGen (Lightweight),Wireframe Space,14,60.12,65.82
InGen (Lightweight),Wireframe Space,15,65.32,75.71
InGen (Lightweight),Wireframe Space,14,64.26,73.20
InGen (Lightweight),Wireframe Space,16,65.69,75.78
InGen (Lightweight),Wireframe Space,16,60.14,68.30
InGen (Lightweight),Wireframe Space,16,59.73,68.92
InGen (Lightweight),Wireframe Space,14,58.88,62.29
InGen (Lightweight),Wireframe Space,16,57.51,67.28
InGen (Lightweight),Wireframe Space,14,58.25,67.67
InGen (Lightweight),Wireframe Space,15,60.54,73.26
InGen (Lightweight),Wireframe Space,14,60.40,70.30
InGen (Lightweight),Wireframe Space,14,59.66,66.75
InGen (Lightweight),Wireframe Space,14,62.22,74.76
InGen (Lightweight),Wireframe Space,14,54.68,62.23
InGen (Lightweight),Wireframe Space,15,60.23,67.84
InGen (Lightweight),Wireframe Space,15,60.54,68.27
InGen (Lightweight),Wireframe Space,16,58.29,67.77
InGen (Lightweight),Wireframe Space,15,59.86,70.12
InGen (Lightweight),Wireframe Space,15,59.36,70.63
InGen (Lightweight),Wireframe Space,15,63.57,72.41
InGen (Lightweight),Wireframe Space,16,65.43,72.36
InGen (Lightweight),Wireframe Space,15,57.70,69.89
InGen (Lightweight),Wireframe Space,16,60.77,71.51
InGen (Lightweight),Wireframe Space,14,58.94,66.72
InGen (Lightweight),Wireframe Space,16,65.84,76.66
InGen (Lightweight),Wireframe Space,15,58.81,67.29
InGen (Lightweight),Wireframe Space,15,64.90,73.61
InGen (Lightweight),Wireframe Space,16,62.22,72.61
InGen (Lightweight),Wireframe Space,15,62.48,71.17
InGen (Lightweight),Wireframe Space,16,55.99,66.50
InGen (Lightweight),Wireframe Space,16,54.29,62.79
InGen (Lightweight),Wireframe Space,16,55.09,66.26
InGen (Lightweight),Wireframe Space,15,53.61,61.95
InGen (Lightweight),Wireframe Space,16,54.58,63.44
InGen (Lightweight),Wireframe Space,16,65.43,76.77
InGen (Lightweight),Wireframe Space,14,56.41,64.60
InGen (Lightweight),Wireframe Space,16,63.03,72.47
InGen (Lightweight),Wireframe Space,14,65.56,76.32
InGen (Lightweight),Wireframe Space,14,60.52,69.79
InGen (Lightweight),Wireframe Space,14,56.08,66.10
InGen (Lightweight),Wireframe Space,16,59.26,67.35
InGen (Lightweight),Wireframe Space,16,63.41,71.93
InGen (Lightweight),Wireframe Space,16,56.59,63.03
InGen (Lightweight),Wireframe Space,15,67.28,77.07
InGen (Lightweight),Wireframe Space,16,63.06,78.04
InGen (Lightweight),Wireframe Space,15,63.83,73.43
InGen (Lightweight),Wireframe Space,16,56.87,66.04
InGen (Lightweight),Wireframe Space,16,53.96,62.11
InGen (Lightweight),Wireframe Space,14,60.14,65.97
InGen (Lightweight),Wireframe Space,16,55.61,65.92
InGen (Lightweight),Wireframe Space,14,58.24,65.99
InGen (Lightweight),Wireframe Space,16,60.04,71.78
InGen (Lightweight),Wireframe Space,16,53.61,64.52
InGen (Lightweight),Wireframe Space,15,57.46,64.03
InGen (Lightweight),Wireframe Space,16,55.34,70.13
InGen (Lightweight),Wireframe Space,14,59.58,67.41
InGen (Lightweight),Wireframe Space,16,62.73,69.77
InGen (Lightweight),Wireframe Space,15,62.11,71.22
InGen (Lightweight),Wireframe Space,16,53.61,63.91
InGen (Lightweight),Wireframe Space,15,66.21,76.21
InGen (Lightweight),Wireframe Space,16,57.13,65.63
InGen (Lightweight),Wireframe Space,14,59.70,71.40
InGen (Lightweight),Wireframe Space,15,59.89,68.17
InGen (Lightweight),Wireframe Space,14,62.43,72.62
InGen (Lightweight),Wireframe Space,14,55.09,66.29
InGen (Lightweight),Wireframe Space,15,57.85,69.30
InGen (Lightweight),Wireframe Space,16,57.96,67.92
InGen (Lightweight),Wireframe Space,16,61.50,70.20
InGen (Lightweight),Wireframe Space,16,67.97,77.43
InGen (Lightweight),Wireframe Space,15,53.61,60.62
InGen (Lightweight),Wireframe Space,16,60.85,73.87
InGen (Lightweight),Wireframe Space,14,59.14,64.51
InGen (Lightweight),Wireframe Space,14,59.25,67.31
InGen (Lightweight),Wireframe Space,16,58.83,67.62
InGen (Lightweight),Wireframe Space,16,56.70,66.93
InGen (Lightweight),Wireframe Space,14,56.03,65.66
InGen (Lightweight),Wireframe Space,16,59.25,69.17
InGen (Lightweight),Wireframe Space,15,60.59,69.52
InGen (Lightweight),Wireframe Space,16,63.06,75.52
InGen (Lightweight),Wireframe Space,14,64.82,74.24
InGen (Lightweight),Wireframe Space,14,59.09,66.83
InGen (Lightweight),Wireframe Space,14,56.10,69.14
InGen (Lightweight),Wireframe Space,15,57.43,64.88
InGen (Lightweight),Wireframe Space,14,59.66,68.00
InGen (Lightweight),Wireframe Space,16,54.67,62.97
InGen (Lightweight),Wireframe Space,14,65.51,74.36
InGen (Lightweight),Wireframe Space,15,61.00,69.22
InGen (Lightweight),Wireframe Space,14,54.39,59.98
InGen (Lightweight),Wireframe Space,14,58.14,67.69
InGen (Lightweight),Wireframe Space,14,55.40,66.66
InGen (Lightweight),Wireframe Space,15,57.44,71.47
InGen (Lightweight),Wireframe Space,16,58.66,65.50
InGen (Lightweight),Wireframe Space,14,53.61,61.61
InGen (Lightweight),Wireframe Space,15,53.61,63.31
InGen (Lightweight),Wireframe Space,15,55.86,66.97
InGen (Lightweight),Wireframe Space,16,54.43,65.30
InGen (Lightweight),Wireframe Space,16,62.15,69.58
InGen (Lightweight),Wireframe Space,14,55.03,63.22
InGen (Lightweight),Wireframe Space,14,60.23,69.49
InGen (Lightweight),Wireframe Space,16,56.04,64.14
InGen (Lightweight),Wireframe Space,14,53.61,60.38
InGen (Lightweight),Wireframe Space,14,57.76,67.12
InGen (Lightweight),Wireframe Space,14,59.68,63.62
InGen (Lightweight),Wireframe Space,16,63.18,70.61
InGen (Lightweight),Wireframe Space,16,63.02,72.37
InGen (Lightweight),Wireframe Space,16,53.70,63.82
InGen (Lightweight),Wireframe Space,15,61.40,72.17
InGen (Lightweight),Wireframe Space,16,64.45,72.97
InGen (Lightweight),Wireframe Space,15,59.31,69.17
InGen (Lightweight),Wireframe Space,15,54.23,62.46
InGen (Lightweight),Wireframe Space,16,60.43,67.94
InGen (Lightweight),Wireframe Space,14,58.56,68.18
InGen (Lightweight),Wireframe Space,16,63.55,70.13
InGen (Lightweight),Wireframe Space,16,63.36,72.57
InGen (Lightweight),Wireframe Space,16,58.85,68.81
InGen (Lightweight),Wireframe Space,14,62.18,72.69
InGen (Lightweight),Wireframe Space,14,61.08,68.19
InGen (Lightweight),Wireframe Space,15,62.81,72.83
InGen (Lightweight),Wireframe Space,14,63.89,71.02
InGen (Lightweight),Wireframe Space,16,59.48,68.43
InGen (Lightweight),Wireframe Space,15,63.91,75.80
InGen (Lightweight),Wireframe Space,14,70.10,79.51
InGen (Lightweight),Wireframe Space,15,57.69,66.44
InGen (Lightweight),Wireframe Space,15,63.20,74.63
InGen (Lightweight),Wireframe Space,15,58.35,66.98
InGen (Lightweight),Wireframe Space,16,61.95,66.97
InGen (Lightweight),Wireframe Space,15,64.11,72.13
InGen (Lightweight),Wireframe Space,15,63.80,76.95
InGen (Lightweight),Wireframe Space,16,53.61,65.15
InGen (Lightweight),Wireframe Space,15,61.73,66.68
InGen (Lightweight),Wireframe Space,14,58.04,66.25
InGen (Lightweight),Wireframe Space,14,61.81,72.26
InGen (Lightweight),Wireframe Space,15,60.05,67.97
InGen (Lightweight),Wireframe Space,14,55.75,63.45
InGen (Lightweight),Wireframe Space,16,57.46,66.62
InGen (Lightweight),Wireframe Space,14,53.61,59.27
InGen (Lightweight),Wireframe Space,16,63.35,73.06
InGen (Lightweight),Wireframe Space,16,54.32,62.18
InGen (Lightweight),Wireframe Space,16,59.05,69.54
InGen (Lightweight),Wireframe Space,15,62.71,73.45
InGen (Lightweight),Wireframe Space,15,58.43,66.07
InGen (Lightweight),Wireframe Space,16,62.56,69.68
InGen (Lightweight),Wireframe Space,15,61.58,73.32
InGen (Lightweight),Wireframe Space,16,59.42,70.46
InGen (Lightweight),Wireframe Space,15,63.81,77.61
InGen (Lightweight),Wireframe Space,16,59.07,68.01
InGen (Lightweight),Wireframe Space,14,58.76,66.11
InGen (Lightweight),Wireframe Space,14,53.67,62.71
InGen (Lightweight),Wireframe Space,16,54.92,63.94
InGen (Lightweight),Wireframe Space,15,57.36,65.28
InGen (Lightweight),Wireframe Space,16,67.62,78.40
InGen (Lightweight),Wireframe Space,14,63.41,71.43
InGen (Lightweight),Wireframe Space,16,62.63,71.15
InGen (Lightweight),Wireframe Space,14,58.47,68.59
InGen (Lightweight),Wireframe Space,16,57.19,67.69
InGen (Lightweight),Wireframe Space,16,61.64,67.53
InGen (Lightweight),Wireframe Space,15,60.42,70.21
InGen (Lightweight),Wireframe Space,16,61.34,75.98
InGen (Lightweight),Wireframe Space,14,62.04,69.63
InGen (Lightweight),Wireframe Space,15,58.56,69.01
InGen (Lightweight),Wireframe Space,16,66.23,76.38
InGen (Lightweight),Wireframe Space,15,60.83,69.14
InGen (Lightweight),Wireframe Space,16,58.20,68.01
InGen (Lightweight),Wireframe Space,16,54.20,59.16
InGen (Lightweight),Wireframe Space,15,54.34,63.13
InGen (Lightweight),Wireframe Space,14,62.68,68.70
InGen (Lightweight),Wireframe Space,16,59.71,67.51
InGen (Lightweight),Wireframe Space,14,54.13,61.43
InGen (Lightweight),Wireframe Space,16,63.42,71.43
InGen (Lightweight),Wireframe Space,16,57.88,67.14
InGen (Lightweight),Wireframe Space,15,61.71,70.89
InGen (Lightweight),Wireframe Space,16,55.76,67.21
InGen (Lightweight),Wireframe Space,15,62.08,73.18
InGen (Lightweight),Wireframe Space,15,58.18,65.74
InGen (Lightweight),Wireframe Space,16,55.74,62.45
InGen (Lightweight),Wireframe Space,15,54.56,61.41
InGen (Lightweight),Wireframe Space,16,55.78,62.79
InGen (Lightweight),Wireframe Space,16,64.27,69.64
InGen (Lightweight),Wireframe Space,15,53.61,61.11
InGen (Lightweight),Wireframe Space,16,53.63,61.02
InGen (Lightweight),Wireframe Space,15,58.68,68.56
InGen (Lightweight),Wireframe Space,16,61.10,66.75
InGen (Lightweight),Wireframe Space,14,61.46,69.06
InGen (Lightweight),Wireframe Space,14,64.70,75.33
InGen (Lightweight),Wireframe Space,15,65.84,79.42
InGen (Lightweight),Wireframe Space,14,57.79,64.19
InGen (Lightweight),Wireframe Space,15,62.14,73.80
InGen (Lightweight),Wireframe Space,16,65.24,76.62
InGen (Lightweight),Wireframe Space,15,58.81,67.39
InGen (Lightweight),Wireframe Space,14,62.42,70.91
InGen (Lightweight),Wireframe Space,16,58.62,66.80
InGen (Lightweight),Wireframe Space,15,58.96,69.36
InGen (Lightweight),Wireframe Space,14,59.89,68.16
InGen (Lightweight),Wireframe Space,14,58.46,64.71
InGen (Lightweight),Wireframe Space,15,58.73,69.24
InGen (Lightweight),Wireframe Space,14,53.61,64.18
InGen (Lightweight),Wireframe Space,15,71.98,80.05
InGen (Lightweight),Wireframe Space,14,60.26,66.87
InGen (Lightweight),Wireframe Space,16,59.61,69.20
InGen (Lightweight),Wireframe Space,14,57.57,66.54
InGen (Lightweight),Wireframe Space,16,55.09,62.99
InGen (Lightweight),Wireframe Space,16,57.06,66.27
InGen (Lightweight),Wireframe Space,16,60.33,68.40
InGen (Lightweight),Wireframe Space,15,53.61,61.03
InGen (Lightweight),Wireframe Space,14,68.45,75.05
InGen (Lightweight),Wireframe Space,15,64.58,68.83
InGen (Lightweight),Wireframe Space,15,56.26,66.09
InGen (Lightweight),Wireframe Space,16,56.09,63.48
InGen (Lightweight),Wireframe Space,15,61.99,72.15
InGen (Lightweight),Wireframe Space,15,64.09,73.84
InGen (Lightweight),Wireframe Space,15,68.50,78.18
InGen (Lightweight),Wireframe Space,16,60.25,68.20
InGen (Lightweight),Wireframe Space,14,57.74,65.22
InGen (Lightweight),Wireframe Space,15,54.10,65.18
InGen (Lightweight),Wireframe Space,14,63.79,72.25
InGen (Lightweight),Wireframe Space,16,58.62,69.06
InGen (Lightweight),Wireframe Space,16,57.03,63.18
InGen (Lightweight),Wireframe Space,16,70.78,78.29
InGen (Lightweight),Wireframe Space,15,61.63,71.92
InGen (Lightweight),Wireframe Space,14,61.29,68.19
InGen (Lightweight),Wireframe Space,16,59.74,71.32
InGen (Lightweight),Wireframe Space,16,67.26,75.05
InGen (Lightweight),Wireframe Space,15,60.53,70.13
InGen (Lightweight),Wireframe Space,14,53.61,63.45
InGen (Lightweight),Wireframe Space,16,57.32,64.45
InGen (Lightweight),Wireframe Space,16,64.37,72.37
InGen (Lightweight),Wireframe Space,15,61.66,71.59
InGen (Lightweight),Wireframe Space,14,54.07,60.92
InGen (Lightweight),Wireframe Space,14,54.75,59.72
InGen (Lightweight),Wireframe Space,14,61.63,72.54
InGen (Lightweight),Wireframe Space,16,72.54,84.03
InGen (Lightweight),Wireframe Space,16,62.82,72.63
InGen (Lightweight),Wireframe Space,15,63.52,70.69
InGen (Lightweight),Wireframe Space,15,64.83,72.97
InGen (Lightweight),Wireframe Space,15,55.05,64.53
InGen (Lightweight),Wireframe Space,16,57.40,66.38
InGen (Lightweight),Wireframe Space,15,56.45,67.73
InGen (Lightweight),Wireframe Space,14,57.90,65.91
InGen (Lightweight),Wireframe Space,16,60.01,66.99
InGen (Lightweight),Wireframe Space,15,61.94,72.49
InGen (Lightweight),Wireframe Space,14,59.55,66.33
InGen (Lightweight),Wireframe Space,16,61.56,70.80
InGen (Lightweight),Wireframe Space,16,58.80,66.44
InGen (Lightweight),Wireframe Space,15,59.86,68.14
InGen (Lightweight),Wireframe Space,14,57.53,67.76
InGen (Lightweight),Wireframe Space,16,61.39,70.99
InGen (Lightweight),Wireframe Space,16,58.64,64.91
InGen (Lightweight),Wireframe Space,14,61.33,73.57
InGen (Lightweight),Wireframe Space,15,63.11,70.24
InGen (Lightweight),Wireframe Space,16,60.04,72.22
InGen (Lightweight),Wireframe Space,14,64.48,72.16
InGen (Lightweight),Wireframe Space,14,57.67,66.14
InGen (Lightweight),Wireframe Space,16,61.13,69.88
InGen (Lightweight),Wireframe Space,15,63.51,71.70
InGen (Lightweight),Wireframe Space,15,63.24,70.25
InGen (Lightweight),Wireframe Space,15,60.74,68.01
InGen (Lightweight),Wireframe Space,14,57.75,63.80
InGen (Lightweight),Wireframe Space,16,55.62,65.59
InGen (Lightweight),Wireframe Space,15,57.70,65.96
InGen (Lightweight),Wireframe Space,16,54.24,64.86
InGen (Lightweight),Wireframe Space,14,60.73,69.57
InGen (Lightweight),Wireframe Space,14,57.93,70.14
InGen (Lightweight),Wireframe Space,16,65.89,78.10
InGen (Lightweight),Wireframe Space,15,57.27,67.14
InGen (Lightweight),Wireframe Space,16,68.69,77.98
InGen (Lightweight),Wireframe Space,14,62.15,72.41
InGen (Lightweight),Wireframe Space,14,62.26,72.63
InGen (Lightweight),Wireframe Space,14,55.74,62.21
InGen (Lightweight),Wireframe Space,15,53.61,63.35
InGen (Lightweight),Wireframe Space,15,61.86,72.34
InGen (Lightweight),Wireframe Space,15,68.75,76.50
InGen (Lightweight),Wireframe Space,14,62.00,68.43
InGen (Lightweight),Wireframe Space,14,56.50,66.04
InGen (Lightweight),Wireframe Space,14,58.55,68.50
InGen (Lightweight),Wireframe Space,15,54.30,65.04
InGen (Lightweight),Wireframe Space,14,54.97,64.43
InGen (Lightweight),Wireframe Space,16,66.11,74.56
InGen (Lightweight),Wireframe Space,15,60.01,68.53
InGen (Lightweight),Wireframe Space,15,56.69,65.80
InGen (Lightweight),Wireframe Space,14,53.61,62.58
InGen (Lightweight),Wireframe Space,15,56.79,64.86
InGen (Lightweight),Wireframe Space,15,56.48,62.57
InGen (Lightweight),Wireframe Space,15,57.91,69.89
InGen (Lightweight),Wireframe Space,15,54.25,61.99
InGen (Lightweight),Wireframe Space,14,55.18,66.04
InGen (Lightweight),Wireframe Space,14,62.98,72.00
InGen (Lightweight),Wireframe Space,16,61.31,66.53
InGen (Lightweight),Wireframe Space,14,56.07,63.05
InGen (Lightweight),Wireframe Space,15,54.60,60.73
InGen (Lightweight),Wireframe Space,14,61.81,69.98
InGen (Lightweight),Wireframe Space,14,60.87,70.64
InGen (Lightweight),Wireframe Space,16,61.76,70.52
InGen (Lightweight),Wireframe Space,14,64.82,76.82
InGen (Lightweight),Wireframe Space,16,59.58,69.31
InGen (Lightweight),Wireframe Space,16,60.35,69.92
InGen (Lightweight),Wireframe Space,14,56.62,63.87
InGen (Lightweight),Wireframe Space,15,61.59,72.54
InGen (Lightweight),Wireframe Space,15,66.10,76.61
InGen (Lightweight),Wireframe Space,15,58.98,68.44
InGen (Lightweight),Wireframe Space,15,54.34,66.06
InGen (Lightweight),Wireframe Space,16,61.15,73.52
InGen (Lightweight),Wireframe Space,15,67.37,78.33
InGen (Lightweight),Wireframe Space,16,66.51,76.39
InGen (Lightweight),Wireframe Space,15,62.27,72.91
InGen (Lightweight),Wireframe Space,15,58.38,66.57
InGen (Lightweight),Wireframe Space,16,53.61,64.93
InGen (Lightweight),Wireframe Space,16,55.24,67.82
InGen (Lightweight),Wireframe Space,15,64.05,76.33
InGen (Lightweight),Wireframe Space,14,60.90,71.93
InGen (Lightweight),Wireframe Space,15,58.50,68.04
InGen (Lightweight),Wireframe Space,15,62.98,72.19
InGen (Lightweight),Wireframe Space,15,55.51,63.47
